background_connected_by_cut,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_gt_instance_count,candidate_gt_instances_covered,candidate_gt_instances_multi_covered,candidate_iou,candidate_merged_pred_components,candidate_precision,candidate_pred_component_count_instance_match,candidate_rank,candidate_recall,component_area,component_bbox_h,component_bbox_w,component_fill,component_slenderness,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,dist_percentile,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,pred_component_id,ring_bg_frac,ring_fg_frac,risk_label,run_id,safe_useful_label,split
1.0,0.43580284245539763,0.2786111970306217,1.0,-1.0,0.9023420074349442,0.13879296168393357,29.0,29.0,0.0,0.8220611643580452,2.0,0.9048648648648648,27.0,1.0,0.8998331788693235,4195.0,92.0,60.0,0.759963768115942,1.5333333333333334,1.0,0.0003726476616359232,10.0,5.0,2.0,671.0,3.0,0.2532075471698113,1.0,0.9,0.1,2.0,1.5,0.03563666343688965,0.7454901933670044,0.04858292266726494,2.5,0.02679610811173916,-0.0005739954462178898,-0.0004693694889975064,0.0,0.0,-0.00016681992056588602,-5.4815545688757794e-05,0.0,0.0,0.0,-0.00027695539269978475,0.0,1.812880516038895e-06,0.0,-0.0003336422613531287,8.0,10375.png,0.0,1.0,1.0,19.0,0.38636363636363635,0.6136363636363636,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.43554533905994797,0.27840074240197976,1.0,-1.0,0.9023456377086354,0.13884777722962233,29.0,29.0,0.0,0.8220671904632891,2.0,0.9048346814776158,27.0,2.0,0.899870250231696,4195.0,92.0,60.0,0.759963768115942,1.5333333333333334,1.0,0.00029811812930873857,8.0,4.0,2.0,664.0,3.0,0.2553846153846154,1.0,1.0,0.0,2.0,1.426776695296637,0.04393275827169418,0.7382352948188782,0.055115703493356705,2.0,0.033376555889844894,-0.0008314988416675551,-0.0006798241176394493,0.0,0.0,-0.00016318964687467297,0.0,0.0,0.0,0.0,-0.00027092928745586775,0.0,-2.8370506732988687e-05,0.0,-0.0002965708989806082,8.0,10375.png,0.0,1.0,1.0,19.0,0.425,0.575,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.32319530963722976,0.19274475524475523,1.0,1.0,0.8876163057537447,0.19345113474583367,27.0,27.0,0.0,0.7979407738039421,0.0,0.8971428571428571,27.0,1.0,0.8782899490122412,3765.0,78.0,68.0,0.709841628959276,1.1470588235294117,1.0,0.0005900575306092345,28.0,14.0,6.0,1188.0,3.0,0.3548387096774194,0.3333333333333333,0.2857142857142857,0.7142857142857143,2.0,1.3953952789951956,0.0838976576924324,0.7820728421211243,0.1075548604130745,2.3333333333333335,0.038982897996902466,0.001055037522153468,0.0007499974224432215,0.0,0.0,9.232143740200982e-05,-0.0008374507997655212,0.0,0.0,0.0,0.00014920634176485148,0.0,0.0003607780330010524,0.0,-0.0001651425386536287,8.0,10618.png,0.0,1.0,1.0,20.0,0.4791666666666667,0.5208333333333334,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.32138114209827356,0.19145569620253164,1.0,1.0,0.8873383395911556,0.1942885855455992,27.0,27.0,0.0,0.797491610580979,0.0,0.8967472647933048,27.0,2.0,0.8781248064735875,6579.0,117.0,65.0,0.8650887573964497,1.8,1.0,0.00033717573177670536,16.0,8.0,2.0,526.0,2.0,0.18785714285714286,1.0,1.0,0.0,2.0,1.5,0.07665477693080902,0.7747549414634705,0.09869125485420227,4.0,0.03203853964805603,-0.0007591300168027226,-0.0005390616197803733,0.0,0.0,-0.0001856447251871174,0.0,0.0,0.0,0.0,-0.00029995688119832664,0.0,-3.481431655127931e-05,0.0,-0.00033028507730736845,8.0,10618.png,0.0,1.0,1.0,19.0,0.42857142857142855,0.5714285714285714,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.3212895544259743,0.19139069234546346,1.0,1.0,0.8872848649212475,0.19416296792563437,27.0,27.0,0.0,0.7974052270426337,0.0,0.8967887490248171,27.0,3.0,0.8779803067522656,5033.0,56.0,139.0,0.6465827338129496,2.482142857142857,1.0,0.0005479105641371463,26.0,6.0,13.0,1513.0,3.0,0.4593199757134183,0.3333333333333333,0.8846153846153846,0.11538461538461539,2.0,1.4098790095958609,0.09031732380390167,0.7874811887741089,0.12068340927362442,2.1666666666666665,0.03625341132283211,-0.0008507176891019985,-0.0006040654768485476,0.0,0.0,-0.00023911939509524416,-0.000125617619964824,0.0,0.0,0.0,-0.0003863404195435516,0.0,6.669914961010548e-06,0.0,-0.0004747847986292797,8.0,10618.png,0.0,1.0,1.0,27.0,0.42391304347826086,0.5760869565217391,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.3221728576008794,0.19201790784013978,1.0,1.0,0.8876535741849356,0.19374424252575162,27.0,27.0,0.0,0.7980010126202487,0.0,0.8970467337001201,27.0,4.0,0.8784550915508949,6579.0,117.0,65.0,0.8650887573964497,1.8,1.0,0.0002950287653046172,14.0,7.0,4.0,995.0,4.0,0.3479020979020979,0.5,0.0,0.9285714285714286,2.0,1.3744743347942348,0.07365365326404572,0.8058823943138123,0.08540292084217072,1.75,0.029261987656354904,3.258548580309384e-05,2.31500178277666e-05,0.0,0.0,0.00012958986859290533,-0.0005443430198475707,0.0,0.0,0.0,0.0002094451580714196,0.0,0.00026465459026403515,0.0,0.0,8.0,10618.png,0.0,1.0,1.0,19.0,0.45,0.55,0.0,R244-F0-gtfree-merge-targeted-candidates,1.0,val
1.0,0.3216559051151715,0.19165075034106413,1.0,1.0,0.887431169697981,0.1942885855455992,27.0,27.0,0.0,0.7976415890215781,0.0,0.896764674886711,27.0,5.0,0.8782899490122412,6579.0,117.0,65.0,0.8650887573964497,1.8,1.0,0.00016858786588835268,8.0,4.0,2.0,471.0,2.0,0.18115384615384617,1.0,1.0,0.0,2.0,1.5,0.05711952969431877,0.7779411673545837,0.06108074262738228,2.0,0.02102135308086872,-0.00048436699990478393,-0.00034400748124788216,0.0,0.0,-9.281461836174731e-05,0.0,0.0,0.0,0.0,-0.00014997844059916332,0.0,-1.740422314511214e-05,0.0,-0.0001651425386536287,8.0,10618.png,0.0,1.0,1.0,19.0,0.4,0.6,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.322081253148903,0.19195283070371785,1.0,1.0,0.887431169697981,0.1942885855455992,27.0,27.0,0.0,0.7976415890215781,0.0,0.896764674886711,27.0,6.0,0.8782899490122412,6579.0,117.0,65.0,0.8650887573964497,1.8,1.0,0.00016858786588835268,8.0,4.0,2.0,623.0,3.0,0.23961538461538462,1.0,1.0,0.0,2.0,1.426776695296637,0.06272168457508087,0.781862735748291,0.0690012127161026,2.0,0.02772534266114235,-5.901896617327429e-05,-4.192711859415943e-05,0.0,0.0,-9.281461836174731e-05,0.0,0.0,0.0,0.0,-0.00014997844059916332,0.0,-1.740422314511214e-05,0.0,-0.0001651425386536287,8.0,10618.png,0.0,1.0,1.0,19.0,0.4,0.6,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.3220222558043687,0.19191092189290979,1.0,1.0,0.887431169697981,0.1942885855455992,27.0,27.0,0.0,0.7976415890215781,0.0,0.896764674886711,27.0,7.0,0.8782899490122412,6579.0,117.0,65.0,0.8650887573964497,1.8,1.0,0.00016858786588835268,8.0,4.0,2.0,753.0,3.0,0.2896153846153846,1.0,1.0,0.0,2.0,1.5,0.06682035326957703,0.7750000357627869,0.07459960877895355,2.0,0.025409940630197525,-0.00011801631070756935,-8.383592940222617e-05,0.0,0.0,-9.281461836174731e-05,0.0,0.0,0.0,0.0,-0.00014997844059916332,0.0,-1.740422314511214e-05,0.0,-0.0001651425386536287,8.0,10618.png,0.0,1.0,1.0,19.0,0.4,0.6,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
1.0,0.322081253148903,0.19195283070371785,1.0,1.0,0.887431169697981,0.1942885855455992,27.0,27.0,0.0,0.7976415890215781,0.0,0.896764674886711,27.0,8.0,0.8782899490122412,5033.0,56.0,139.0,0.6465827338129496,2.482142857142857,1.0,0.00016858786588835268,8.0,2.0,4.0,1318.0,3.0,0.5069230769230769,1.0,1.0,0.0,2.0,1.426776695296637,0.05211057513952255,0.7514705657958984,0.056766852736473083,2.0,0.019796881824731827,-5.901896617327429e-05,-4.192711859415943e-05,0.0,0.0,-9.281461836174731e-05,0.0,0.0,0.0,0.0,-0.00014997844059916332,0.0,-1.740422314511214e-05,0.0,-0.0001651425386536287,8.0,10618.png,0.0,1.0,1.0,27.0,0.45,0.55,1.0,R244-F0-gtfree-merge-targeted-candidates,0.0,val
