accepted,accepted_images,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_hard_risk,num_images,num_overerosion_proxy,num_quick_useful,num_rows,num_safe_gap_positive,risk_threshold,useful_threshold
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.1
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.1
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.2
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.2
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.3
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.3
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.4
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.4
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.5
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.5
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.3,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.4,0.6
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.5,0.6
0,0,,,,,,,,,,0,0,0,0,0,0,0.02,0.7
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.05,0.7
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.1,0.7
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.15,0.7
2,2,0.28125,0.71875,0.0005848506511509366,0.00045764932449637863,0.0,1.7457023106737246e-05,-0.0005595322348691256,2.614100864750668e-05,-0.00017150043827890427,0,2,1,2,2,1,0.2,0.7
